Entity,Code,Year,Coal production (TWh)
China,CHN,1989,6130.173
China,CHN,1990,6279.5195
China,CHN,1991,6323.266
China,CHN,1992,6491.7495
China,CHN,1993,6691.146
China,CHN,1994,7210.0244
China,CHN,1995,7912.651
China,CHN,1996,8121.8066
China,CHN,1997,8068.494
China,CHN,1998,7745.7466
China,CHN,1999,7931.644
China,CHN,2000,8226.111
China,CHN,2001,8715.2295
China,CHN,2002,9307.322
China,CHN,2003,10994.302
China,CHN,2004,12873.73
China,CHN,2005,14440.99
China,CHN,2006,15449.555
China,CHN,2007,16738.865
China,CHN,2008,17349.283
China,CHN,2009,17885.352
China,CHN,2010,19367.25
China,CHN,2011,21535.068
China,CHN,2012,21789.303
China,CHN,2013,22034.137
China,CHN,2014,21680.762
China,CHN,2015,21273.959
China,CHN,2016,19671.232
China,CHN,2017,20326.11
China,CHN,2018,21352.951
China,CHN,2019,22154.44
China,CHN,2020,22364.936
China,CHN,2021,23177.975
China,CHN,2022,25365.633
China,CHN,2023,25860.682
India,IND,1900,39.547382
India,IND,1901,42.88753
India,IND,1902,47.99001
India,IND,1903,48.07272
India,IND,1904,53.111576
India,IND,1905,54.415825
India,IND,1906,63.240185
India,IND,1907,72.05818
India,IND,1908,82.54944
India,IND,1909,76.72803
India,IND,1910,77.87322
India,IND,1911,82.19952
India,IND,1912,95.063866
India,IND,1913,104.77257
India,IND,1914,106.42674
India,IND,1915,110.562164
India,IND,1916,111.535576
India,IND,1917,117.73235
India,IND,1918,133.95595
India,IND,1919,146.27315
India,IND,1920,116.10999
India,IND,1921,124.78166
India,IND,1922,122.89209
India,IND,1923,127.06569
India,IND,1924,136.89528
India,IND,1925,135.12659
India,IND,1926,135.74371
India,IND,1927,142.74213
India,IND,1928,145.726
India,IND,1929,151.38835
India,IND,1930,153.8696
India,IND,1931,140.3754
India,IND,1932,130.27223
India,IND,1933,127.92458
India,IND,1934,142.58307
India,IND,1935,148.78621
India,IND,1936,146.165
India,IND,1937,161.84143
India,IND,1938,183.21838
India,IND,1939,179.50923
India,IND,1940,189.97504
India,IND,1941,190.46492
India,IND,1942,190.26134
India,IND,1943,164.91437
India,IND,1944,168.89073
India,IND,1945,188.54355
India,IND,1946,186.80031
India,IND,1947,191.78827
India,IND,1948,191.65466
India,IND,1949,201.64966
India,IND,1950,208.84529
India,IND,1951,222.37132
India,IND,1952,234.66943
India,IND,1953,232.58264
India,IND,1954,238.39767
India,IND,1955,247.10115
India,IND,1956,254.72307
India,IND,1957,281.2343
India,IND,1958,293.08707
India,IND,1959,304.24637
India,IND,1960,334.60675
India,IND,1961,356.69626
India,IND,1962,390.4477
India,IND,1963,419.6247
India,IND,1964,397.25525
India,IND,1965,427.29752
India,IND,1966,432.4636
India,IND,1967,434.0478
India,IND,1968,450.53223
India,IND,1969,479.77924
India,IND,1970,468.8808
India,IND,1971,456.95804
India,IND,1972,481.35068
India,IND,1973,495.42386
India,IND,1974,535.07306
India,IND,1975,610.20416
India,IND,1976,641.7924
India,IND,1977,637.9942
India,IND,1978,646.0233
India,IND,1979,658.19415
India,IND,1980,540.40857
India,IND,1981,741.7438
India,IND,1982,734.24493
India,IND,1983,776.837
India,IND,1984,815.0646
India,IND,1985,841.7091
India,IND,1986,905.42584
India,IND,1987,992.4843
India,IND,1988,1055.1355
India,IND,1989,1147.4272
India,IND,1990,1236.1667
India,IND,1991,1321.8241
India,IND,1992,1395.0984
India,IND,1993,1441.3691
India,IND,1994,1466.0952
India,IND,1995,1547.9033
India,IND,1996,1658.9543
India,IND,1997,1713.9055
India,IND,1998,1703.4462
India,IND,1999,1666.2043
India,IND,2000,1771.1918
India,IND,2001,1793.7572
India,IND,2002,1873.2715
India,IND,2003,1954.7339
India,IND,2004,2110.9717
India,IND,2005,2207.1597
India,IND,2006,2303.6853
India,IND,2007,2446.755
India,IND,2008,2647.5125
India,IND,2009,2857.771
India,IND,2010,2937.1091
India,IND,2011,2915.2168
India,IND,2012,2966.2107
India,IND,2013,2974.1167
India,IND,2014,3133.7236
